x,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49,y50
0.0,-31.452700217555595,-29.95270021755559,-28.452700217555588,-26.952700217555584,-25.452700217555584,-23.95270021755558,-22.452700217555577,-20.952700217555577,-19.452700217555574,-17.95270021755557,-16.45270021755557,-14.952700217555568,-13.452700217555568,-11.95270021755557,-10.452700217555568,-8.952700217555568,-7.452700217555568,-5.9527002175555666,-4.452700217555564,-2.9527002175555648,-1.4527002175555674,0.04729978244442967,1.5472997824444263,3.0472997824444237,4.547299782444421,6.04729978244442,7.547299782444417,9.047299782444414,10.54729978244441,12.047299782444405,13.547299782444401,15.047299782444398,16.547299782444394,18.047299782444394,19.547299782444394,21.047299782444394,22.547299782444394,24.047299782444394,25.54729978244439,27.04729978244439,28.54729978244439,30.04729978244439,31.54729978244439,33.04729978244439,34.54729978244439,36.04729978244439,37.54729978244439,39.04729978244439,40.54729978244439,42.04729978244439
25.0,-32.49607516163473,-30.996075161634728,-29.496075161634728,-27.996075161634725,-26.496075161634725,-24.99607516163472,-23.496075161634717,-21.996075161634717,-20.496075161634714,-18.996075161634714,-17.266532673937306,-15.745665175055725,-14.224797676174141,-12.703930177292555,-11.183062678410971,-9.683062678410971,-8.183062678410973,-6.683062678410974,-5.183062678410976,-3.683062678410979,-2.1830626784109817,-0.6830626784109833,0.8169373215890151,2.3169373215890134,3.8169373215890117,5.316937321589009,6.816937321589007,8.588214807049585,10.109082305931167,11.62994980481275,13.150817303694332,14.650817303694332,16.150817303694332,17.650817303694332,19.150817303694332,20.650817303694332,22.150817303694332,23.650817303694332,25.15081730369433,26.650817303694332,28.15081730369434,29.650817303694346,31.150817303694353,32.92209478915492,34.4429622880365,35.963829786918076,37.484697285799655,38.984697285799655,40.484697285799655,41.984697285799655
50.0,-33.567006635960894,-32.0670066359609,-30.567006635960905,-29.067006635960908,-27.56700663596091,-26.067006635960915,-24.56700663596092,-23.067006635960922,-21.567006635960926,-20.06700663596093,-18.101859223911756,-16.55957309554365,-15.017286967175545,-13.475000838807437,-11.93271471043933,-10.43271471043933,-8.93271471043933,-7.43271471043933,-5.93271471043933,-4.43271471043933,-2.932714710439329,-1.4327147104393254,0.06728528956067792,1.5672852895606812,3.067285289560685,4.567285289560688,6.067285289560692,8.117004958346076,9.659291086714184,11.201577215082294,12.743863343450402,14.243863343450405,15.743863343450409,17.24386334345041,18.74386334345041,20.24386334345041,21.74386334345041,23.24386334345041,24.743863343450407,26.243863343450407,27.743863343450407,29.243863343450407,30.743863343450407,32.793583012235764,34.33586914060387,35.87815526897197,37.42044139734008,38.92044139734008,40.42044139734008,41.92044139734008
75.0,-34.6660228051139,-33.1660228051139,-31.666022805113894,-30.166022805113894,-28.66602280511389,-27.166022805113887,-25.666022805113887,-24.166022805113883,-22.66602280511388,-21.166022805113876,-18.959091835851048,-17.394825384099875,-15.830558932348707,-14.26629248059754,-12.702026028846374,-11.202026028846374,-9.702026028846374,-8.202026028846374,-6.702026028846373,-5.202026028846373,-3.702026028846377,-2.2020260288463795,-0.7020260288463823,0.7979739711536148,2.2979739711536102,3.7979739711536076,5.2979739711536045,7.63343784391876,9.197704295669922,10.761970747421085,12.326237199172247,13.826237199172244,15.326237199172239,16.826237199172237,18.326237199172237,19.826237199172237,21.326237199172237,22.826237199172237,24.326237199172233,25.826237199172233,27.326237199172233,28.826237199172233,30.326237199172233,32.661701071937394,34.22596752368856,35.790233975439726,37.35450042719089,38.85450042719089,40.35450042719089,41.85450042719089
100.0,-35.79365505926219,-34.29365505926219,-32.793655059262186,-31.293655059262186,-29.79365505926219,-28.293655059262193,-26.793655059262193,-25.293655059262196,-23.793655059262196,-22.2936550592622,-19.838644994086746,-18.251825897252616,-16.665006800418485,-15.078187703584355,-13.491368606750221,-11.991368606750221,-10.491368606750221,-8.991368606750221,-7.491368606750221,-5.991368606750223,-4.491368606750225,-2.9913686067502225,-1.4913686067502199,0.00863139324978257,1.508631393249785,3.0086313932497877,4.50863139324979,7.137279652093509,8.724098748927641,10.310917845761775,11.897736942595909,13.397736942595913,14.897736942595916,16.39773694259592,17.89773694259592,19.39773694259592,20.89773694259592,22.39773694259592,23.897736942595916,25.39773694259591,26.897736942595902,28.397736942595895,29.897736942595888,32.52638520143959,34.11320429827372,35.700023395107856,37.28684249194199,38.78684249194199,40.28684249194199,41.78684249194199
125.0,-36.95043777799332,-35.45043777799332,-33.95043777799332,-32.45043777799332,-30.950437777993322,-29.450437777993322,-27.950437777993322,-26.450437777993322,-24.950437777993322,-23.450437777993322,-20.74093551469702,-19.130980763488264,-17.52102601227951,-15.911071261070754,-14.301116509861998,-12.801116509861998,-11.301116509861998,-9.801116509861998,-8.301116509861998,-6.801116509862001,-5.301116509862001,-3.801116509862001,-2.301116509862002,-0.8011165098620027,0.6988834901379967,2.198883490137996,3.698883490137995,6.628295255851807,8.23825000706056,9.848204758269315,11.458159509478069,12.958159509478069,14.458159509478069,15.958159509478069,17.45815950947807,18.95815950947807,20.45815950947807,21.95815950947807,23.45815950947807,24.958159509478065,26.458159509478065,27.958159509478065,29.458159509478065,32.38757127519187,33.99752602640062,35.607480777609375,37.21743552881813,38.71743552881813,40.21743552881813,41.71743552881813
150.0,-38.136908084388864,-36.63690808438886,-35.13690808438886,-33.63690808438886,-32.13690808438885,-30.636908084388853,-29.136908084388857,-27.63690808438886,-26.136908084388864,-24.636908084388867,-21.66638235368555,-20.032698196348885,-18.399014039012222,-16.76532988167556,-15.131645724338894,-13.631645724338894,-12.131645724338894,-10.631645724338894,-9.131645724338894,-7.6316457243388935,-6.1316457243388935,-4.631645724338892,-3.131645724338888,-1.6316457243388853,-0.13164572433888222,1.368354275661121,2.868354275661124,6.106248321037777,7.739932478374444,9.37361663571111,11.007300793047778,12.507300793047781,14.007300793047785,15.507300793047788,17.00730079304779,18.50730079304779,20.00730079304779,21.50730079304779,23.00730079304779,24.50730079304779,26.007300793047783,27.507300793047776,29.00730079304777,32.24519483842439,33.878878995761056,35.51256315309772,37.14624731043439,38.64624731043439,40.14624731043439,41.64624731043439
175.0,-39.353605589277144,-37.85360558927715,-36.35360558927715,-34.85360558927715,-33.35360558927716,-31.85360558927716,-30.353605589277162,-28.853605589277166,-27.35360558927717,-25.85360558927717,-22.615406407498423,-20.957388300063993,-19.299370192629564,-17.641352085195134,-15.983333977760706,-14.483333977760706,-12.983333977760706,-11.483333977760708,-9.983333977760706,-8.483333977760706,-6.983333977760709,-5.483333977760709,-3.9833339777607057,-2.483333977760703,-0.9833339777606999,0.516666022239303,2.016666022239304,5.570901418886921,7.228919526321354,8.886937633755787,10.54495574119022,12.044955741190224,13.544955741190225,15.044955741190229,16.544955741190233,18.044955741190233,19.544955741190233,21.044955741190233,22.544955741190233,24.04495574119023,25.54495574119023,27.04495574119023,28.54495574119023,32.09919113783781,33.75720924527224,35.41522735270667,37.0732454601411,38.5732454601411,40.0732454601411,41.5732454601411
200.0,-40.60107212560031,-39.10107212560031,-37.60107212560031,-36.10107212560031,-34.60107212560031,-33.10107212560031,-31.601072125600307,-30.101072125600307,-28.601072125600307,-27.101072125600304,-23.588430305830467,-21.90546286766957,-20.222495429508676,-18.53952799134778,-16.856560553186885,-15.356560553186885,-13.856560553186885,-12.356560553186885,-10.856560553186885,-9.356560553186885,-7.856560553186887,-6.356560553186887,-4.85656055318689,-3.356560553186892,-1.856560553186893,-0.3565605531868943,1.143439446813105,5.022016142904732,6.704983581065624,8.387951019226517,10.07091845738741,11.57091845738741,13.07091845738741,14.57091845738741,16.07091845738741,17.57091845738741,19.07091845738741,20.57091845738741,22.07091845738741,23.57091845738741,25.070918457387407,26.570918457387407,28.070918457387407,31.949495153479027,33.63246259163992,35.315430029800815,36.99839746796171,38.49839746796171,39.99839746796171,41.49839746796171
225.0,-41.879851472844294,-40.37985147284429,-38.87985147284429,-37.37985147284428,-35.87985147284428,-34.37985147284427,-32.87985147284427,-31.379851472844265,-29.879851472844265,-28.37985147284427,-24.585878196680756,-22.877335171574984,-21.168792146469208,-19.460249121363436,-17.75170609625766,-16.25170609625766,-14.75170609625766,-13.25170609625766,-11.75170609625766,-10.25170609625766,-8.751706096257662,-7.251706096257661,-5.751706096257659,-4.251706096257658,-2.751706096257657,-1.2517060962576552,0.24829390374234628,4.4593532301174,6.167896255223174,7.876439280328948,9.584982305434721,11.084982305434721,12.584982305434721,14.084982305434721,15.584982305434721,17.08498230543472,18.58498230543472,20.08498230543472,21.58498230543472,23.08498230543472,24.584982305434718,26.08498230543471,27.584982305434707,31.79604163180974,33.50458465691551,35.21312768202129,36.92167070712706,38.42167070712706,39.92167070712706,41.42167070712706
