x,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25
0.0,-28.952700217555563,-24.95270021755556,-20.952700217555556,-16.95270021755556,-12.952700217555558,-8.95270021755556,-4.9527002175555594,-0.9527002175555583,3.0472997824444423,7.047299782444442,11.04729978244444,15.047299782444437,19.04729978244444,23.04729978244444,27.047299782444444,31.047299782444448,35.04729978244445,39.04729978244445,43.04729978244445,47.04729978244445,51.04729978244445,55.04729978244445,59.04729978244445,63.04729978244444,67.04729978244444
100.0,-33.293655059262186,-29.293655059262193,-25.293655059262193,-21.293655059262196,-17.293655059262196,-13.293655059262194,-9.293655059262194,-5.2936550592621945,-1.293655059262193,2.7063449407378086,6.706344940737809,10.70634494073781,14.706344940737813,18.706344940737814,22.70634494073781,26.706344940737807,30.706344940737807,34.70634494073781,38.70634494073781,42.70634494073781,46.70634494073781,50.70634494073781,54.70634494073781,58.70634494073781,62.70634494073781
200.0,-38.10107212560029,-34.10107212560029,-30.101072125600286,-26.101072125600286,-22.101072125600286,-18.101072125600286,-14.101072125600284,-10.101072125600284,-6.101072125600284,-2.1010721256002842,1.8989278743997153,5.898927874399716,9.89892787439972,13.898927874399712,17.89892787439971,21.898927874399707,25.8989278743997,29.8989278743997,33.898927874399696,37.898927874399696,41.898927874399696,45.898927874399696,49.898927874399696,53.898927874399696,57.898927874399696
300.0,-43.409527306466636,-39.40952730646663,-35.409527306466636,-31.40952730646663,-27.40952730646663,-23.409527306466625,-19.409527306466632,-15.409527306466634,-11.409527306466636,-7.409527306466634,-3.4095273064666323,0.5904726935333673,4.5904726935333695,8.59047269353337,12.590472693533362,16.590472693533364,20.590472693533364,24.590472693533364,28.590472693533368,32.590472693533364,36.590472693533364,40.590472693533364,44.590472693533364,48.590472693533364,52.590472693533364
400.0,-49.25401530472772,-45.25401530472772,-41.25401530472772,-37.25401530472773,-33.25401530472773,-29.25401530472773,-25.064158633901954,-21.064158633901947,-17.06415863390195,-13.06415863390195,-9.06415863390195,-5.064158633901948,-1.0641586339019469,2.935841366098055,6.935841366098054,10.935841366098053,14.935841366098053,18.935841366098053,22.935841366098053,26.93584136609806,30.935841366098057,34.93584136609806,38.93584136609806,42.93584136609806,46.93584136609806
500.0,-55.66963153867075,-51.66963153867075,-47.66963153867076,-43.66963153867076,-39.66963153867076,-34.7080633040428,-29.897472921387788,-25.897472921387795,-21.89747292138779,-17.89747292138779,-13.897472921387791,-9.897472921387793,-5.897472921387793,-1.897472921387794,2.102527078612207,6.102527078612206,10.102527078612205,14.102527078612205,18.102527078612205,22.102527078612205,26.102527078612205,30.102527078612205,34.102527078612205,38.102527078612205,42.102527078612205
600.0,-62.69121309453974,-58.69121309453974,-54.69121309453974,-50.69121309453974,-46.69121309453974,-40.22612667230494,-35.18730155471156,-31.187301554711567,-27.187301554711567,-23.187301554711567,-19.187301554711567,-15.187301554711565,-11.187301554711562,-7.187301554711562,-3.1873015547115617,0.8126984452884356,4.812698445288435,8.812698445288442,12.812698445288442,16.81269844528844,20.81269844528844,24.812698445288447,28.812698445288447,32.81269844528845,36.81269844528845
700.0,-70.35293938306053,-66.35293938306053,-62.35293938306053,-58.35293938306053,-54.35293938306053,-46.24726177327088,-40.95939417789421,-36.95939417789421,-32.95939417789421,-28.95939417789421,-24.95939417789421,-20.95939417789421,-16.95939417789421,-12.959394177894211,-8.959394177894211,-4.95939417789421,-0.9593941778942101,3.040605822105789,7.040605822105789,11.040605822105789,15.040605822105789,19.04060582210579,23.04060582210579,27.040605822105793,31.040605822105793
800.0,-78.68789397836392,-74.68789397836392,-70.6878939783639,-66.6878939783639,-62.6878939783639,-52.7974680569291,-47.23867486770352,-43.23867486770352,-39.23867486770352,-35.23867486770352,-31.238674867703523,-27.238674867703523,-23.238674867703523,-19.23867486770352,-14.122164726576898,-10.122164726576898,-6.122164726576898,-2.1221647265769,1.8778352734231012,5.877835273423105,9.877835273423106,13.877835273423102,18.249571429340342,22.249571429340342,26.249571429340342
900.0,-87.72759001017543,-83.72759001017543,-79.72759001017543,-75.72759001017543,-70.71825270707772,-59.90151080520004,-54.048884579737845,-50.048884579737845,-46.048884579737845,-42.04888457973784,-38.04888457973784,-34.04888457973784,-30.048884579737837,-26.04888457973784,-18.047401705959047,-14.047401705959047,-10.047401705959047,-6.047401705959047,-2.0474017059590475,1.9525982940409525,5.952598294040954,9.952598294040953,17.240105266041784,21.240105266041784,25.240105266041784
