x,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49,y50
0.0,-30.95270021755559,-28.952700217555588,-26.952700217555584,-24.95270021755558,-22.952700217555577,-20.952700217555574,-18.95270021755557,-16.952700217555567,-14.952700217555563,-12.952700217555563,-10.952700217555563,-8.952700217555565,-6.952700217555569,-4.952700217555572,-2.9527002175555754,-0.9527002175555793,1.047299782444417,3.047299782444413,5.0472997824444095,7.047299782444407,9.047299782444403,11.047299782444398,13.047299782444393,15.047299782444387,17.047299782444384,19.047299782444384,21.047299782444384,23.047299782444384,25.047299782444384,27.047299782444384,29.047299782444384,31.047299782444384,33.047299782444384,35.047299782444384,37.047299782444384,39.047299782444384,41.047299782444384,43.047299782444384,45.047299782444384,47.047299782444384,49.047299782444384,51.047299782444384,53.047299782444384,55.047299782444384,57.047299782444384,59.047299782444384,61.047299782444384,63.047299782444384,65.04729978244438,67.04729978244438
25.0,-31.996075161634728,-29.996075161634728,-27.996075161634725,-25.99607516163472,-23.996075161634717,-21.996075161634717,-19.996075161634714,-17.996075161634714,-15.996075161634714,-13.996075161634714,-11.996075161634714,-9.996075161634714,-7.996075161634715,-5.996075161634717,-3.9960751616347197,-1.9960751616347223,0.0039248383652752405,2.003924838365273,4.00392483836527,6.0039248383652675,8.003924838365265,10.003924838365265,12.003924838365265,14.003924838365265,16.003924838365265,18.003924838365275,20.003924838365286,22.003924838365297,24.003924838365307,26.003924838365318,28.00392483836533,30.00392483836534,32.00392483836535,34.00392483836535,36.00392483836535,38.00392483836535,40.00392483836535,42.00392483836535,44.00392483836535,46.00392483836535,48.00392483836535,50.00392483836535,52.00392483836535,54.00392483836535,56.00392483836535,58.00392483836535,60.00392483836535,62.00392483836535,64.00392483836535,66.00392483836535
50.0,-33.067006635960894,-31.0670066359609,-29.067006635960905,-27.06700663596091,-25.067006635960915,-23.06700663596092,-21.067006635960926,-19.06700663596093,-17.067006635960936,-15.067006635960938,-13.067006635960938,-11.067006635960938,-9.067006635960935,-7.06700663596093,-5.067006635960927,-3.067006635960922,-1.0670066359609165,0.9329933640390885,2.9329933640390937,4.932993364039099,6.932993364039104,8.932993364039108,10.932993364039113,12.932993364039119,14.932993364039124,16.932993364039127,18.932993364039127,20.932993364039127,22.932993364039127,24.932993364039127,26.932993364039127,28.932993364039127,30.932993364039127,32.93299336403913,34.93299336403913,36.93299336403913,38.93299336403913,40.93299336403913,42.93299336403913,44.93299336403913,46.93299336403913,48.93299336403913,50.93299336403913,52.93299336403913,54.93299336403913,56.93299336403913,58.93299336403913,60.93299336403913,62.93299336403913,64.93299336403913
75.0,-34.1660228051139,-32.1660228051139,-30.16602280511389,-28.166022805113887,-26.166022805113883,-24.16602280511388,-22.166022805113872,-20.16602280511387,-18.16602280511386,-16.166022805113858,-14.166022805113858,-12.166022805113858,-10.166022805113858,-8.166022805113863,-6.166022805113869,-4.166022805113873,-2.166022805113876,-0.16602280511388012,1.8339771948861157,3.833977194886111,5.833977194886108,7.833977194886103,9.833977194886097,11.833977194886092,13.833977194886087,15.833977194886083,17.83397719488608,19.83397719488608,21.83397719488608,23.83397719488608,25.83397719488608,27.83397719488608,29.83397719488608,31.83397719488608,33.83397719488608,35.83397719488608,37.83397719488608,39.83397719488608,41.83397719488608,43.83397719488608,45.83397719488608,47.83397719488608,49.83397719488608,51.83397719488608,53.83397719488608,55.83397719488608,57.83397719488608,59.83397719488608,61.83397719488608,63.83397719488608
100.0,-35.29365505926219,-33.293655059262186,-31.293655059262186,-29.29365505926219,-27.29365505926219,-25.293655059262193,-23.293655059262196,-21.293655059262196,-19.293655059262203,-17.29365505926221,-15.29365505926221,-13.293655059262212,-11.293655059262212,-9.293655059262209,-7.293655059262207,-5.293655059262204,-3.2936550592622003,-1.2936550592621985,0.7063449407378052,2.70634494073781,4.706344940737812,6.706344940737814,8.706344940737818,10.706344940737822,12.706344940737827,14.706344940737832,16.706344940737832,18.70634494073782,20.706344940737814,22.706344940737804,24.706344940737793,26.706344940737786,28.706344940737775,30.706344940737765,32.70634494073776,34.70634494073776,36.70634494073776,38.70634494073776,40.70634494073776,42.70634494073776,44.70634494073776,46.70634494073776,48.70634494073776,50.70634494073776,52.70634494073776,54.70634494073776,56.70634494073776,58.70634494073776,60.70634494073776,62.70634494073776
125.0,-36.45043777799332,-34.45043777799332,-32.45043777799332,-30.450437777993322,-28.450437777993322,-26.450437777993322,-24.450437777993322,-22.450437777993322,-20.450437777993322,-18.450437777993322,-16.450437777993322,-14.450437777993322,-12.450437777993324,-10.450437777993324,-8.450437777993324,-6.450437777993325,-4.450437777993325,-2.4504377779933257,-0.45043777799332685,1.5495622220066725,3.549562222006671,5.549562222006671,7.549562222006671,9.54956222200667,11.54956222200667,13.54956222200667,15.54956222200667,17.54956222200667,19.54956222200667,21.54956222200667,23.54956222200667,25.54956222200667,27.54956222200667,29.54956222200667,31.54956222200667,33.54956222200667,35.54956222200667,37.54956222200667,39.54956222200667,41.54956222200667,43.54956222200667,45.54956222200667,47.54956222200667,49.54956222200667,51.54956222200667,53.54956222200667,55.54956222200667,57.54956222200667,59.54956222200667,61.54956222200667
150.0,-37.636908084388864,-35.63690808438886,-33.63690808438886,-31.63690808438885,-29.636908084388853,-27.63690808438886,-25.636908084388864,-23.636908084388867,-21.63690808438887,-19.636908084388878,-17.63690808438888,-15.636908084388885,-13.636908084388885,-11.636908084388882,-9.636908084388878,-7.636908084388873,-5.636908084388869,-3.636908084388864,-1.636908084388861,0.36309191561114385,2.3630919156111467,4.363091915611152,6.363091915611156,8.363091915611161,10.363091915611164,12.36309191561117,14.36309191561117,16.363091915611164,18.363091915611157,20.363091915611147,22.36309191561114,24.36309191561113,26.363091915611122,28.36309191561111,30.363091915611104,32.36309191561109,34.36309191561109,36.36309191561109,38.36309191561109,40.36309191561109,42.36309191561109,44.36309191561109,46.36309191561109,48.36309191561109,50.36309191561109,52.36309191561109,54.36309191561109,56.36309191561109,58.36309191561109,60.36309191561109
175.0,-38.853605589277144,-36.85360558927715,-34.85360558927715,-32.85360558927716,-30.85360558927716,-28.853605589277162,-26.853605589277166,-24.853605589277173,-22.853605589277176,-20.85360558927718,-18.853605589277187,-16.853605589277187,-14.85360558927719,-12.853605589277189,-10.853605589277183,-8.85360558927718,-6.8536055892771754,-4.853605589277173,-2.8536055892771692,-0.8536055892771651,1.1463944107228379,3.1463944107228423,5.146394410722845,7.14639441072285,9.146394410722854,11.14639441072286,13.146394410722863,15.146394410722866,17.14639441072287,19.14639441072287,21.14639441072287,23.14639441072287,25.14639441072287,27.14639441072287,29.14639441072287,31.14639441072287,33.14639441072287,35.14639441072287,37.14639441072287,39.14639441072287,41.14639441072287,43.14639441072287,45.14639441072287,47.14639441072287,49.14639441072287,51.14639441072287,53.14639441072287,55.14639441072287,57.14639441072287,59.14639441072287
200.0,-40.10107212560031,-38.10107212560031,-36.10107212560031,-34.101072125600304,-32.101072125600304,-30.101072125600307,-28.101072125600304,-26.1010721256003,-24.1010721256003,-22.1010721256003,-20.1010721256003,-18.1010721256003,-16.1010721256003,-14.101072125600302,-12.101072125600302,-10.101072125600302,-8.101072125600302,-6.101072125600305,-4.101072125600306,-2.101072125600308,-0.10107212560030976,1.898927874399689,3.8989278743996865,5.898927874399685,7.898927874399683,9.898927874399682,11.898927874399682,13.898927874399682,15.898927874399682,17.898927874399682,19.898927874399682,21.898927874399682,23.898927874399682,25.898927874399682,27.898927874399682,29.898927874399682,31.898927874399682,33.89892787439968,35.89892787439968,37.89892787439968,39.89892787439968,41.89892787439968,43.89892787439968,45.89892787439968,47.89892787439968,49.89892787439968,51.89892787439968,53.89892787439968,55.89892787439968,57.89892787439968
225.0,-41.379851472844294,-39.37985147284429,-37.37985147284428,-35.37985147284427,-33.379851472844265,-31.379851472844265,-29.379851472844265,-27.37985147284427,-25.37985147284427,-23.37985147284427,-21.37985147284427,-19.37985147284427,-17.37985147284427,-15.379851472844267,-13.379851472844267,-11.379851472844267,-9.379851472844267,-7.379851472844266,-5.379851472844265,-3.3798514728442632,-1.3798514728442606,0.6201485271557409,2.6201485271557425,4.620148527155745,6.620148527155747,8.620148527155749,10.620148527155749,12.620148527155749,14.620148527155752,16.62014852715574,18.620148527155735,20.620148527155727,22.620148527155717,24.62014852715571,26.620148527155703,28.620148527155692,30.620148527155685,32.62014852715568,34.62014852715568,36.62014852715568,38.62014852715568,40.62014852715568,42.62014852715568,44.62014852715568,46.62014852715568,48.62014852715568,50.62014852715568,52.62014852715568,54.62014852715568,56.62014852715568
