x,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49,y50
7875.0,-264.89893910660373,-262.89893910660373,-260.89893910660373,-258.89893910660373,-256.89893910660373,-254.89893910660373,-245.68416660066134,-235.83112780032184,-226.207249607422,-217.2449857070204,-209.2380483989285,-202.4221486772723,-196.96157371756627,-193.19459726113536,-191.19459726113536,-189.19459726113536,-187.19459726113536,-185.19459726113536,-183.19459726113536,-181.19459726113539,-179.19459726113539,-177.19459726113539,-175.19459726113539,-167.86484268742916,-156.9496053528561,-146.55265577165673,-137.09655890255286,-128.9292099973036,-122.30108089817855,-117.33402017693228,-114.26863096159721,-112.26863096159721,-110.2686309615972,-108.2686309615972,-106.2686309615972,-104.2686309615972,-102.2686309615972,-100.26863096159718,-98.26863096159718,-96.26863096159718,-86.07364785131725,-75.27806564737311,-65.13987752691749,-56.07315666916808,-48.405388159246435,-42.317135543911704,-37.920564069911656,-35.62750994899847,-33.62750994899847,-31.627509948998473
7900.0,-260.12545014981725,-258.12545014981725,-256.12545014981725,-254.12545014981723,-252.12545014981723,-250.12545014981723,-241.57896609782495,-231.82139707662117,-222.29298866285706,-213.42619454159117,-205.514727012635,-198.79429707011454,-193.42919188954423,-189.75768521224904,-187.75768521224904,-185.75768521224904,-183.75768521224904,-181.75768521224904,-179.75768521224904,-177.75768521224904,-175.75768521224904,-173.75768521224904,-171.75768521224904,-165.3826284299001,-154.56286087446279,-144.26138107239913,-134.90075398243096,-126.82887485631743,-120.29621553632815,-115.4246245942176,-112.45470515801826,-110.45470515801827,-108.45470515801827,-106.45470515801827,-104.45470515801827,-102.45470515801827,-100.45470515801827,-98.45470515801827,-96.45470515801827,-94.45470515801829,-85.21441983909564,-74.51430741428726,-64.4715890729674,-55.500337994353714,-47.9280392635678,-41.93525642736879,-37.63415473250447,-35.43657039072701,-33.43657039072701,-31.436570390727013
7925.0,-255.39711362739124,-253.39711362739126,-251.39711362739126,-249.39711362739126,-247.39711362739126,-245.39711362739126,-237.5125966885386,-227.84959439778333,-218.41575271446777,-209.6435253236504,-201.82662452514276,-195.2007613130708,-189.93022286294902,-186.35328291610233,-184.35328291610233,-182.35328291610233,-180.35328291610236,-178.35328291610236,-176.35328291610236,-174.35328291610236,-172.35328291610236,-170.35328291610236,-168.35328291610236,-162.9238934382386,-152.19869261324982,-141.99177954163466,-132.72571918211503,-124.74840678645,-118.31031419690925,-113.53328998524725,-110.6579372794964,-108.65793727949642,-106.65793727949642,-104.65793727949642,-102.65793727949642,-100.65793727949642,-98.65793727949642,-96.65793727949642,-94.65793727949642,-92.65793727949642,-84.36331926505898,-73.75777357069913,-63.809621959827766,-54.9329376116626,-47.455205611325205,-41.55698950557472,-37.35045454115892,-35.24743692982998,-33.24743692982998,-31.24743692982998
7950.0,-250.71457922336856,-248.7145792233686,-246.7145792233686,-244.7145792233686,-242.7145792233686,-240.7145792233686,-233.48561710107913,-223.91626549840433,-214.5760745031692,-205.8974978004323,-198.17424769000513,-191.64203516601364,-186.4651474039723,-182.98185814520608,-180.98185814520608,-178.98185814520608,-176.9818581452061,-174.9818581452061,-172.9818581452061,-170.9818581452061,-168.9818581452061,-166.98185814520613,-164.98185814520613,-160.4889755481469,-149.85742541123855,-139.74416302770388,-130.5717533562647,-122.68809164868014,-116.34364974721983,-111.66027622363826,-108.87857420596788,-106.87857420596788,-104.87857420596788,-102.87857420596788,-100.87857420596788,-98.87857420596788,-96.87857420596788,-94.87857420596788,-92.87857420596788,-90.87857420596788,-83.52046307233493,-73.0085680660555,-63.154067143264605,-54.37103348317989,-46.98695217092294,-41.18238675325291,-37.06950247691756,-35.06013555366908,-33.06013555366908,-31.060135553669078
7975.0,-246.07846358036127,-244.07846358036127,-242.07846358036127,-240.07846358036127,-238.07846358036127,-236.07846358036127,-229.49855764809283,-220.02192835827816,-210.77445967590316,-202.18860528602636,-194.5580774884593,-188.11858727732795,-183.03442182814675,-179.64385488224067,-177.64385488224067,-175.64385488224065,-173.64385488224065,-171.64385488224065,-169.64385488224065,-167.64385488224065,-165.64385488224062,-163.64385488224062,-161.64385488224062,-158.07819541378296,-147.53936758973472,-137.51882751906015,-128.4391401604811,-120.64820076575667,-114.39648117715652,-109.8058299664351,-107.11685026162489,-105.11685026162489,-103.11685026162489,-101.11685026162489,-99.11685026162489,-97.11685026162489,-95.11685026162489,-93.1168502616249,-91.1168502616249,-89.1168502616249,-82.68596225659353,-72.26678956317427,-62.50501095324353,-53.81469960601896,-46.52334060662216,-40.81149750181229,-36.791335538337094,-34.791335538337094,-32.791335538337094,-30.791335538337094
8000.0,-241.48935051876205,-239.48935051876205,-237.48935051876205,-235.48935051876205,-233.48935051876208,-231.48935051876208,-225.5519204151175,-216.16707338653484,-207.01138696539186,-198.5173148367471,-190.97856930041203,-184.63086135051267,-179.63847816256347,-176.3396934778894,-174.3396934778894,-172.3396934778894,-170.3396934778894,-168.3396934778894,-166.33969347788943,-164.33969347788943,-162.33969347788943,-160.33969347788943,-158.33969347788943,-155.69185662175153,-145.2448110589353,-135.31605324949277,-126.32814815214572,-118.62899101865327,-112.46905369128508,-107.97018474179565,-105.3729872982174,-103.3729872982174,-101.3729872982174,-99.3729872982174,-97.3729872982174,-95.3729872982174,-93.3729872982174,-91.3729872982174,-89.3729872982174,-87.3729872982174,-81.85992190550576,-71.53253147331846,-61.86253512461969,-53.26400603862711,-46.06442930046229,-40.44436845688439,-36.51598875464117,-34.51598875464117,-32.51598875464117,-30.51598875464117
8025.0,-236.9477912773618,-234.9477912773618,-232.9477912773618,-230.9477912773618,-228.9477912773618,-226.94779127736183,-221.6461794675133,-212.35216362375863,-203.28730838744366,-194.8840674436269,-187.43615309211984,-181.17927632704848,-176.2777243239273,-173.0697708240812,-171.0697708240812,-169.06977082408122,-167.06977082408122,-165.06977082408122,-163.06977082408122,-161.06977082408125,-159.06977082408122,-157.06977082408122,-155.06977082408125,-153.06977082408125,-142.9740314382352,-133.13610481362065,-124.23903090110159,-116.63070495243714,-110.56159880989696,-106.15356104523553,-103.64719478648529,-101.64719478648529,-99.64719478648529,-97.64719478648529,-95.64719478648529,-93.64719478648529,-91.64719478648529,-89.64719478648529,-87.64719478648529,-85.64719478648529,-81.04244124205371,-70.80588199469442,-61.226716830823655,-52.71901892965907,-45.610273376322255,-40.08104371757236,-36.24349520015715,-34.24349520015715,-32.24349520015715,-30.24349520015715
8050.0,-232.45430477474181,-230.4543047747418,-228.4543047747418,-226.4543047747418,-224.4543047747418,-222.4543047747418,-217.78178107526008,-208.57763496155778,-199.60264945529516,-191.28927824153075,-183.93123362007609,-177.76422658505712,-172.9525443119883,-169.8344605421946,-167.8344605421946,-165.8344605421946,-163.8344605421946,-161.8344605421946,-159.83446054219456,-157.83446054219456,-155.83446054219456,-153.83446054219456,-151.83446054219456,-149.83446054219453,-140.72728818692494,-130.97923129236275,-122.1720271098961,-114.65357089128408,-108.67433447879631,-104.3561664441873,-101.93966991548946,-99.93966991548946,-97.93966991548946,-95.93966991548946,-93.93966991548946,-91.93966991548946,-89.93966991548946,-87.93966991548946,-85.93966991548946,-83.93966991548946,-80.23361367158199,-70.08692415427512,-60.59762872045676,-52.1798005493446,-45.1609247260602,-39.72156479736272,-35.973886009999916,-33.973886009999916,-31.973886009999916,-29.973886009999916
8075.0,-228.00937789082624,-226.00937789082624,-224.00937789082624,-222.00937789082624,-220.00937789082624,-218.00937789082624,-213.9591439550927,-204.84389637906875,-195.95780941048446,-187.7333367343984,-180.46419065062204,-174.38608215328136,-169.6632984178909,-166.6341131857755,-164.6341131857755,-162.6341131857755,-160.6341131857755,-158.6341131857755,-156.6341131857755,-154.6341131857755,-152.6341131857755,-150.6341131857755,-148.6341131857755,-146.6341131857755,-138.5048247449673,-128.84566638808343,-120.1273607432951,-112.69780306236137,-106.80746518755191,-102.5781956906212,-100.25059769960167,-98.25059769960167,-96.25059769960167,-94.25059769960167,-92.25059769960167,-90.25059769960167,-88.25059769960167,-86.25059769960167,-84.25059769960167,-82.25059769960167,-79.43352683247726,-69.37573585284868,-59.97533895670863,-51.646409323274774,-44.716432037668675,-39.3659706466495,-35.707190396965004,-33.707190396965004,-31.707190396965004,-29.707190396965004
8100.0,-223.61346576795668,-221.61346576795668,-219.61346576795668,-217.61346576795668,-215.61346576795668,-213.61346576795668,-210.1786595294249,-201.15133019585832,-192.35316146973142,-184.21660703610274,-177.0353791947838,-171.04518893990053,-166.41032344696742,-163.46905645730942,-161.46905645730942,-159.46905645730942,-157.46905645730942,-155.46905645730942,-153.46905645730942,-151.46905645730942,-149.46905645730942,-147.46905645730942,-145.46905645730942,-143.46905645730942,-136.3068686835325,-126.73562856910605,-118.1052411667751,-110.76360172829877,-104.9611820959467,-100.81983084147338,-98.58015109291124,-96.58015109291124,-94.58015109291124,-92.58015109291124,-90.58015109291124,-88.58015109291124,-86.58015109291124,-84.58015109291124,-82.58015109291124,-80.58015109291124,-78.58015109291124,-68.67238991318955,-59.359911259506895,-51.11889986853043,-44.27684082538172,-39.014297676819936,-35.44343566959283,-33.44343566959283,-31.44343566959283,-29.44343566959283
